IoC,Type
c44506fe6e1ede5a104008755abf5b6ace51f1a84ad656a2dccc7f2c39c0eca2,sha256
be074196291ccf74b3c4c8bd292f92da99ec37a25dc8af651bd0ba3f0d020349,sha256
6010e2147a0f51a7bfa2f942a5a9eaad9a294f463f717963b486ed3f53d305c2,sha256
d6d5ff8e9dc6d2b195a6715280c2f1ba471048a7ce68d256040672b801fda0ea,sha256
52019f47f96ca868fa4e747c3b99cba1b7aa57317bf8ebf9fcbf09aa576fe006,sha256
835f1141ece59c36b18e76927572d229136aeb12eff44cb4ba98d7808257c299,sha256
931308cfe733376e19d6cd2401e27f8b2945cec0b9c696aebe7029ea76d45bf6,sha256
b1fcb0339b9ef4860bb1ed1e5ba0e148321be64696af64f3b1643d1311028cb3,sha256
5ae3838d77c2102766538f783d0a4b4205e7d2cdba4e0ad2ab332dc8ab32fea9,sha256
02f37a8e3d1790ac90c04bc50de73cd1a93e27caf833a1e1211b9cc6294ecee5,sha256
b6f321a48812dc922b26953020c9a60949ec429a921033cfaf1e9f7d088ee628,sha256
2bdf023c439010ce0a786ec75d943a80a8f01363712bbf69afc29d3e2b5306ed,sha256
4f450abaa4daf72d974a830b16f91deed77ba62412804dca41a6d42a7d8b6fd0,sha256
213.5.130.58:443,ip
crowdstrikefix.com,domainname
supportportal-crowdstrike-com.translate.goog,domainname
crashstrike.com,domainname
crowdstrikebluescreen.com,domainname
crowdstrike-helpdesk.com,domainname
crowdfalcon-immed-update.com,domainname
crowdstrike-bsod.com,domainname
fix-crowdstrike-bsod.com,domainname
fix-crowdstrike-apocalypse.com,domainname
crowdstrikedown.site,domainname
crowdstrike0day.com,domainname
crowdstrikedoomsday.com,domainname
crowdstrikeoutage.info,domainname
crowdstrikecommuication.app,domainname
crowdstrike-cloudtrail-storage-bb-126d5e.s3.us-west-1.amazonaws.com,domainname
ea2d4043a6943d10c8aa401e35515896814d61af94c927956675a66b4d46b25f,sha256
eacc0efc58bc8883d416dc0ebead46b5ca5e2b3b8d3190a5466449f7a5027f0f,sha256
1b95a426cb020f2c496d5da2bd08c2bd8b3787bc8fb309985ab81f0808ba2a08,sha256
07d2021058cb0ca5c4bc1b575ba15d3baab0ba658c92af0e3ff49f186d292398,sha256
d4183510dcc7b2e6d8a863022bfbb369e159f2f4f72a5fe6d5cf0c08bd179233,sha256
e7493dec21a15eff49d679ac939c6aa8c04c158f4522c9ac8e9a2642ad72bc4c,sha256
527dfa52443339292e75773e1503a3a9f46f1963b092ff60323bc4255edea086,sha256
ac0de29190145404aaa396ed016637012bdcb5a7f0151a2389dfb72e89200e24,sha256
3327e5e018c60aa2e2569cb523fd0b17aca51e323825e313ea685972e88b7d39,sha256
1b6e66e565af1c2b711ca370620c3336ccc8faa7ada26f7b28685611d1cc9df2,sha256
dfd1fa20b2fbd65530969b01126e94e6f8ff3ff897d7b91a2bdde4f448e8d09e,sha256
fafbf0870568dae2e02913cbe158011c867098bda883c8f85a13d1f83a4aa937,sha256
18f7589e196e503d7ba61102e4f7c46d26cd89c825173ebf964a73ff7b03d911,sha256
31d1315856a87c0469759674c5c69d99c6cad8531d3ecdd13b3ef4b589c6d8a5,sha256
683b68b232d81901f6c403fc13142a9c9e81248016aa858f67967c9b45ce391a,sha256
0fde3063fc11bf3901d5323487e7407c30df22bee7d694e44aa689e9e755f74d,sha256
8ee24e7b9f4040f2138cac945604fdc22c308ebef9c2150470e48068abeebda6,sha256
fa3339ede21a95b30952065dfd7f67a69562ec3985d670f3100a2fb161689016,sha256
f63c3c0347e1b4f9b13b02fd86cd7be749ab29fc313666e2047354336bd42fbf,sha256
bd3ff5396507973a972696b904a5ba728dd188cdf5ad44685b788e895fbd4d32,sha256
08e3362fa38f0bfd8f87849be7c73da0d312ad4e84e2b43bab17ec68c20909ad,sha256
5921334073d557692360184ee29fc67b73386eca5939a078d567c26ed5fe7cee,sha256
16daecf77f7537b525c3488108cedb1827a30e65867caff330be6fa4a7d3fa38,sha256
00a8fb1788c7bf03c4e23836d6e5cee6cd2cd3a57fa729d2f96562a08ec3b196,sha256
5ccf66192ea9d2b6395fbb4a058d0af8409040d6d38b82b7fa1bf120371e9538,sha256
df26d87ac0bb6336f36270b47d23582e7c660eaca07572e3069529929052bab3,sha256
2e3e8304af594a33d45c43a6a9da150af7913163bfbe38ac1bbf70798afcedf3,sha256
beb7bc9cce14adfc0740b34c9d1b664f0132d0fc626de13b992e639ec4024ee9,sha256
2f69fcc2e92f76e4e953e925ad7d34a0e9b89fa32011484308669f024f260c7d,sha256
beb543e25cf0a9df7b6600bb03626df66f46f88cfe83edd7edc5049394dc062a,sha256
c2b5fe6600757f1c4ac9ec89cd7333bc69333f1d5d585d44a898e777f1a33c90,sha256
e9080897c8412a2153408ebc20b56f89018273475b3e4e72d98b0acc4742554a,sha256
9442cf143839523fa4ae29482c381c447da1caca35c7eff89d93724f725b9c5d,sha256
3ecdcd8e1f8d1bb86d01e6b9f77b3a5c967ca30f7915ecb5a906a25600848fe3,sha256
fad295cf65552061dc553c21d89d8bbd0b02783c01f5e696232df6a14381c206,sha256
dc9442838b464e96281a32705c9b5958e4f45dbefd1ef4a885fac9898af0a4b7,sha256
0f083aac77fb734a8e81fb9dff218f0414ac6c4c9a23b2832837fbc2c7e2031d,sha256
16d715b305d9d4e5cbcbdcaefa51be41422861438fa5687d3eaab6929989ca85,sha256
b4814c8db16ecdd7904e81186715bf2a4b4ba28ef5853a41a8f59824f47f8f24,sha256
cc6a292cd2a4b9cea6eeb812cab6d932f9430842ffa92f6b4c8c8c6b16cba9b6,sha256
81a32c66cf2e055bf54d5ac202add04fc917e58505944d111d35fe2e24756cab,sha256
6e8e2aaa62ec3d3605eef11a2a28b73fa6769eae49d86dc872676b36ccf6aee7,sha256
bbfa2294b6e5dc097f684f85d3616fd06c60a5b9cdf5a1cfe5c7d9c37b4b963f,sha256
cbe3b72eda18b755fae435b673bb31a3e151e304c4d3c2824c7150e14b70fa7f,sha256
f84efde2108ba15381eb70b8f3ec308403253ebf9288fe773be9941c36e0eb47,sha256
e0e08c0a36bc03c3aa62f46373d677c0d9758ce443e02b6e9e71a3227e172853,sha256
a352bb099b0a3b70c79ff35ff660a2e5739818d78f15eecdcbc34e4e270ca3cd,sha256
1cd96c91fc65b154a4caa8b338f16b05b50d879090fa5cad5f1c447f4156c00c,sha256
087435ef6cddc58d40ba6ba8b4bb60b2ead9873bf1cb5c0702bbf31e3199b343,sha256
1c441d7d8abb43824a77a15c539e46eafb8f098c5e0efcc57f8b688a12af18dd,sha256
b4487efc86407beadbe28b950fa455c6409866a442221825ded4117d3391f403,sha256
87b48b84beaaf3109c4be30d1d3a7bcbd1adf46250ac514a37791cd45ae6e4b7,sha256
5d1788f724f4fb0537eb03a3d46be323ea041575daee9a39c3cc5b2e70fc0a3a,sha256
457f8a09356032a771613639ec663f436689a68b36d4df04d233c1d040fb4419,sha256
7622bf51c667164341fa4cb4520e0fb130119e9a0123b16c342692554bf9478d,sha256
ec3adc8f8bc36d34903a9f5e089ee4b4f31b2461395d7bd0012a929accdf2091,sha256
cbed0cf3273ce544a7e4e316d5c8f5e9c9ac6deaefa485a6afad2654fe75ff1e,sha256
b44320e3d971362f02d98e007fc2acd22f19160a52833f478b56775cb9cd0895,sha256
2d88767c424d05330839e568b32f9f52962df56b1d3021f69930167fe623efd1,sha256
bc3ce7f2ea9d33374a1373965625b7d0d6a010a2de5ddccbb8e1d819622187c6,sha256
491d4c0a6f9d00196d1cbd8dd0426274ac964a33a146273d3be3c4465c02908e,sha256
0d6b969c8ccea7e8ae876bb2a7fdeae2c90166514671acc0ac99d68c8f65d520,sha256
c0c44c30bb17af979589d8e27b2bf41e2052aa778e3253af428c623d3eda99c9,sha256
bbf6413bd1c156ae4569ec8ca3c8d803e8739405f3348a9713ab4149afcf0363,sha256
5d9c5484c64810c278ef7f8787e474de8517f2d3ae34707f9f16c4b047e62e33,sha256
cd5bca22e7e142cd8c0e4638d8c3a2ae86514ee05f359540028fe0735f136717,sha256
961b1a6a707722ebd4632d0ca3ea6b3b7f42143bc8ae946f99d8c1ac1b91c490,sha256
2d7f89b3feaad36e0f7d7f55084f0354440572d6c255fda9696b1c116b13968b,sha256
df1c5676116b3d17d90f7decf44136e4c21b9e229e8760bf1746f4a2b48fbd0e,sha256
146c68ca89b8b0378c2c6fb978892aace0235c7038879e85b3764556b0dbf2a5,sha256
64b6f85b70d888a1f451ca2486fa09f51e8b7299ea56fd26e5a64fef93604b7f,sha256
a094ca643fac2b114c173a8ad17e90056a09b4eb6273092fea179421867a3424,sha256
c20faaf0713f35d7d707e4ce72142eef11bfa53ad33e61f1ab072e6a7ca9b81e,sha256
997670338de96f922dbceb15c67fd114400562291b05781875bfd83dc4ae63b6,sha256
5846f4648919bad0da9c0a63ec1086d3c2362f50a533de61f323f8d0198ee9ed,sha256
79ae0f11b8c158a19a7e7f7d8ed8791e5f314b74ce5d1e3e10c382ff350d3a62,sha256
2006bbaa47bc5928b0c05fd87117db3066f4f8c9dcd930e49e358106aebfab49,sha256
57c01dc2df1ab06b361a47c9377b6495f5088697d973854bc8bc9224e97f0f8b,sha256
10f435256e83f98fe022a615f3bc7afbd4e68ca268dfb2c0f750c711ce9756b5,sha256
1934b4641ca540ac4fd39c37e6f8b6878ddf111b5c8eb2de26c842cb6bd7b9b8,sha256
