IoC,Type
companymartec.com,domainname
cybersecurityadmin.onmicrosoft.com,domainname
hessetechnology.com,domainname
qr-s1.com,domainname
qr-s2.com,domainname
qr-s3.com,domainname
qr-s4.com,domainname
securityadminhelper.onmicrosoft.com,domainname
supportadministrator.onmicrosoft.com,domainname
supportserviceadmin.onmicrosoft.com,domainname
